time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco,District
2009-01-01 00:00:00,23.3,22.5,95.0,,,360.0,7.6,,1010.5,,,Huyện Bình Chánh
2009-01-01 03:00:00,27.8,23.4,77.0,,,,5.4,,1011.6,,,Huyện Bình Chánh
2009-01-01 06:00:00,29.2,21.9,65.0,,,,5.4,,1009.1,,,Huyện Bình Chánh
2009-01-01 09:00:00,29.2,22.2,66.0,,,350.0,11.2,,1007.6,,,Huyện Bình Chánh
2009-01-01 12:00:00,25.2,25.0,99.0,,,220.0,13.0,,1009.0,,,Huyện Bình Chánh
2009-01-01 15:00:00,24.0,22.1,89.0,,,340.0,7.6,,1010.4,,,Huyện Bình Chánh
2009-01-01 18:00:00,22.4,22.1,98.0,,,30.0,3.6,,1010.1,,,Huyện Bình Chánh
2009-01-01 21:00:00,22.1,21.9,99.0,,,30.0,1.8,,1009.4,,,Huyện Bình Chánh
2009-01-02 00:00:00,22.4,21.4,94.0,,,340.0,13.0,,1010.6,,,Huyện Bình Chánh
2009-01-02 03:00:00,27.3,21.3,70.0,,,30.0,11.2,,1012.2,,,Huyện Bình Chánh
2009-01-02 06:00:00,29.6,19.9,56.0,,,30.0,13.0,,1010.1,,,Huyện Bình Chánh
2009-01-02 09:00:00,28.0,20.0,62.0,,,40.0,13.0,,,,,Huyện Bình Chánh
2009-01-02 12:00:00,26.0,18.9,65.0,,,350.0,7.6,,,,,Huyện Bình Chánh
2009-01-02 15:00:00,24.0,19.1,74.0,,,10.0,9.4,,,,,Huyện Bình Chánh
2009-01-02 18:00:00,23.3,19.7,80.0,,,30.0,5.4,,1011.3,,,Huyện Bình Chánh
2009-01-02 21:00:00,22.0,19.9,88.0,,,,1.8,,,,,Huyện Bình Chánh
2009-01-03 00:00:00,22.8,21.4,92.0,,,340.0,3.6,,1010.7,,,Huyện Bình Chánh
2009-01-03 03:00:00,26.0,20.1,70.0,,,10.0,7.6,,,,,Huyện Bình Chánh
2009-01-03 06:00:00,28.4,19.1,57.0,,,,3.6,,1010.5,,,Huyện Bình Chánh
2009-01-03 09:00:00,27.0,21.1,70.0,,,,5.4,,,,,Huyện Bình Chánh
2009-01-03 12:00:00,25.3,22.0,82.0,,,250.0,3.6,,1011.6,,,Huyện Bình Chánh
2009-01-03 15:00:00,24.3,18.2,69.0,,,10.0,9.4,,1012.4,,,Huyện Bình Chánh
2009-01-03 18:00:00,22.3,18.1,77.0,,,350.0,5.4,,1011.6,,,Huyện Bình Chánh
2009-01-03 21:00:00,22.0,19.0,83.0,,,,0.0,,1009.6,,,Huyện Bình Chánh
2009-01-04 00:00:00,21.2,19.3,89.0,,,340.0,3.6,,1011.2,,,Huyện Bình Chánh
2009-01-04 03:00:00,27.0,21.1,70.0,,,,3.6,,,,,Huyện Bình Chánh
2009-01-04 06:00:00,29.6,21.3,61.0,,,,5.4,,1010.6,,,Huyện Bình Chánh
2009-01-04 09:00:00,28.0,22.0,70.0,,,270.0,7.6,,,,,Huyện Bình Chánh
2009-01-04 12:00:00,24.8,22.5,87.0,,,260.0,7.6,,1010.5,,,Huyện Bình Chánh
2009-01-04 15:00:00,24.4,22.5,89.0,,,,5.4,,1011.8,,,Huyện Bình Chánh
2009-01-04 18:00:00,23.4,22.6,95.0,,,,1.8,,1010.8,,,Huyện Bình Chánh
2009-01-04 21:00:00,26.6,20.7,70.0,,,270.0,3.6,,1009.9,,,Huyện Bình Chánh
2009-01-05 00:00:00,21.4,21.1,98.0,,,20.0,3.6,,1011.2,,,Huyện Bình Chánh
2009-01-05 03:00:00,27.8,22.3,72.0,,,,1.8,,1012.4,,,Huyện Bình Chánh
2009-01-05 06:00:00,31.0,20.9,55.0,,,,3.6,,1009.0,,,Huyện Bình Chánh
2009-01-05 09:00:00,30.4,21.2,58.0,,,,3.6,,1007.5,,,Huyện Bình Chánh
2009-01-05 12:00:00,25.7,23.6,88.0,,,160.0,14.8,,1009.1,,,Huyện Bình Chánh
2009-01-05 15:00:00,25.3,21.0,77.0,,,170.0,7.6,,1010.5,,,Huyện Bình Chánh
2009-01-05 18:00:00,22.5,22.0,97.0,,,,0.0,,1010.4,,,Huyện Bình Chánh
2009-01-05 21:00:00,21.0,21.0,100.0,,,,1.8,,,,,Huyện Bình Chánh
2009-01-06 00:00:00,22.0,22.0,100.0,,,360.0,3.6,,,,,Huyện Bình Chánh
2009-01-06 03:00:00,27.4,21.9,72.0,,,,3.6,,1012.7,,,Huyện Bình Chánh
2009-01-06 06:00:00,29.6,22.3,65.0,,,,1.8,,1010.3,,,Huyện Bình Chánh
2009-01-06 09:00:00,29.8,20.4,57.0,,,,5.4,,1008.7,,,Huyện Bình Chánh
2009-01-06 12:00:00,26.4,22.5,79.0,,,150.0,16.6,,1011.2,,,Huyện Bình Chánh
2009-01-06 15:00:00,24.6,22.3,87.0,,,,3.6,,1012.4,,,Huyện Bình Chánh
2009-01-06 18:00:00,23.6,23.3,98.0,,,,0.0,,1011.6,,,Huyện Bình Chánh
2009-01-06 21:00:00,23.2,22.4,95.0,,,,1.8,,1011.1,,,Huyện Bình Chánh
2009-01-07 00:00:00,23.6,22.9,96.0,,,330.0,9.4,,1013.3,,,Huyện Bình Chánh
2009-01-07 03:00:00,28.9,20.1,59.0,,,,5.4,,1014.5,,,Huyện Bình Chánh
2009-01-07 06:00:00,31.7,21.6,55.0,,,90.0,7.6,,1011.5,,,Huyện Bình Chánh
2009-01-07 09:00:00,31.0,21.2,56.0,,,,3.6,,1009.5,,,Huyện Bình Chánh
2009-01-07 12:00:00,26.4,22.3,78.0,,,160.0,11.2,,1011.8,,,Huyện Bình Chánh
2009-01-07 15:00:00,24.3,22.4,89.0,,,,1.8,,1013.3,,,Huyện Bình Chánh
2009-01-07 18:00:00,23.4,23.2,99.0,,,310.0,7.6,,1013.0,,,Huyện Bình Chánh
2009-01-07 21:00:00,21.3,19.0,87.0,,,320.0,5.4,,1012.3,,,Huyện Bình Chánh
2009-01-08 00:00:00,22.0,19.0,83.0,,,,5.4,,1013.3,,,Huyện Bình Chánh
2009-01-08 03:00:00,27.3,18.3,58.0,,,30.0,9.4,,1015.1,,,Huyện Bình Chánh
2009-01-08 06:00:00,30.4,19.4,52.0,,,,5.4,,1012.9,,,Huyện Bình Chánh
2009-01-08 09:00:00,29.6,20.2,57.0,,,150.0,9.4,,1011.6,,,Huyện Bình Chánh
2009-01-08 12:00:00,26.7,21.9,75.0,,,150.0,11.2,,1013.8,,,Huyện Bình Chánh
2009-01-08 15:00:00,23.8,20.7,83.0,,,20.0,11.2,,1015.5,,,Huyện Bình Chánh
2009-01-08 18:00:00,21.4,17.0,76.0,,,360.0,9.4,,1014.5,,,Huyện Bình Chánh
2009-01-08 21:00:00,19.4,16.6,84.0,,,360.0,13.0,,1014.1,,,Huyện Bình Chánh
2009-01-09 00:00:00,18.4,16.4,88.0,,,350.0,7.6,,1014.6,,,Huyện Bình Chánh
2009-01-09 03:00:00,24.8,16.8,61.0,,,40.0,14.8,,1016.4,,,Huyện Bình Chánh
2009-01-09 06:00:00,28.4,17.3,51.0,,,50.0,7.6,,1013.6,,,Huyện Bình Chánh
2009-01-09 09:00:00,28.3,16.2,48.0,,,,5.4,,1011.9,,,Huyện Bình Chánh
2009-01-09 12:00:00,24.0,16.0,61.0,,,320.0,14.8,,,,,Huyện Bình Chánh
2009-01-09 15:00:00,22.0,16.1,69.0,,,10.0,9.4,,1014.7,,,Huyện Bình Chánh
2009-01-09 18:00:00,20.2,14.1,68.0,,,360.0,13.0,,1013.0,,,Huyện Bình Chánh
2009-01-09 21:00:00,18.4,13.3,72.0,,,360.0,9.4,,1013.1,,,Huyện Bình Chánh
2009-01-10 00:00:00,17.6,15.2,86.0,,,340.0,7.6,,1014.4,,,Huyện Bình Chánh
2009-01-10 03:00:00,22.4,14.3,60.0,,,350.0,13.0,,1015.8,,,Huyện Bình Chánh
2009-01-10 06:00:00,27.6,17.5,54.0,,,340.0,7.6,,1013.3,,,Huyện Bình Chánh
2009-01-10 09:00:00,28.9,15.4,44.0,,,290.0,9.4,,1011.7,,,Huyện Bình Chánh
2009-01-10 12:00:00,23.6,17.3,68.0,,,270.0,5.4,,1012.6,,,Huyện Bình Chánh
2009-01-10 15:00:00,22.0,14.4,62.0,,,10.0,13.0,,1013.6,,,Huyện Bình Chánh
2009-01-10 18:00:00,19.6,13.3,67.0,,,360.0,11.2,,1012.4,,,Huyện Bình Chánh
2009-01-10 21:00:00,17.3,13.2,77.0,,,360.0,7.6,,1012.2,,,Huyện Bình Chánh
2009-01-11 00:00:00,18.6,14.5,77.0,,,360.0,11.2,,1014.7,,,Huyện Bình Chánh
2009-01-11 03:00:00,22.4,13.5,57.0,,,340.0,7.6,,1016.7,,,Huyện Bình Chánh
2009-01-11 06:00:00,26.3,18.2,61.0,,,310.0,9.4,,1013.6,,,Huyện Bình Chánh
2009-01-11 09:00:00,27.2,18.5,59.0,,,290.0,11.2,,1011.1,,,Huyện Bình Chánh
2009-01-11 12:00:00,22.3,18.1,77.0,,,250.0,7.6,,1013.3,,,Huyện Bình Chánh
2009-01-11 15:00:00,22.0,17.2,74.0,,,320.0,9.4,,1014.9,,,Huyện Bình Chánh
2009-01-11 18:00:00,21.8,16.3,71.0,,,340.0,5.4,,1014.8,,,Huyện Bình Chánh
2009-01-11 21:00:00,20.3,17.3,83.0,,,210.0,5.4,,1014.3,,,Huyện Bình Chánh
2009-01-12 00:00:00,20.5,17.3,82.0,,,,1.8,,1015.5,,,Huyện Bình Chánh
2009-01-12 03:00:00,22.3,19.1,82.0,,,340.0,3.6,,1017.2,,,Huyện Bình Chánh
2009-01-12 06:00:00,26.2,20.3,70.0,,,,5.4,,1015.4,,,Huyện Bình Chánh
2009-01-12 09:00:00,27.6,20.9,67.0,,,290.0,7.6,,1013.4,,,Huyện Bình Chánh
2009-01-12 12:00:00,24.4,21.1,82.0,,,250.0,5.4,,1015.5,,,Huyện Bình Chánh
2009-01-12 15:00:00,24.0,19.5,76.0,,,150.0,5.4,,1017.2,,,Huyện Bình Chánh
2009-01-12 18:00:00,22.4,21.6,95.0,,,290.0,5.4,,1016.7,,,Huyện Bình Chánh
2009-01-12 21:00:00,21.1,18.7,86.0,,,40.0,5.4,,1015.0,,,Huyện Bình Chánh
2009-01-13 00:00:00,19.4,16.2,82.0,,,30.0,9.4,,1017.2,,,Huyện Bình Chánh
2009-01-13 03:00:00,26.6,17.4,57.0,,,10.0,11.2,,1018.6,,,Huyện Bình Chánh
2009-01-13 06:00:00,29.3,18.1,51.0,,,350.0,9.4,,1016.2,,,Huyện Bình Chánh
2009-01-13 09:00:00,29.4,14.4,40.0,,,350.0,16.6,,1014.1,,,Huyện Bình Chánh
2009-01-13 12:00:00,24.0,14.1,54.0,,,360.0,9.4,,1015.3,,,Huyện Bình Chánh
2009-01-13 15:00:00,22.0,12.0,53.0,,,20.0,11.2,,1016.0,,,Huyện Bình Chánh
2009-01-13 18:00:00,19.0,13.2,69.0,,,360.0,9.4,,1015.7,,,Huyện Bình Chánh
2009-01-13 21:00:00,18.1,13.4,74.0,,,360.0,7.6,,1016.1,,,Huyện Bình Chánh
2009-01-14 00:00:00,17.4,13.1,76.0,,,360.0,13.0,,1017.5,,,Huyện Bình Chánh
2009-01-14 03:00:00,24.4,14.2,53.0,,,30.0,9.4,,1018.6,,,Huyện Bình Chánh
2009-01-14 06:00:00,28.6,13.3,39.0,,,,5.4,,1015.6,,,Huyện Bình Chánh
2009-01-14 09:00:00,29.7,13.0,36.0,,,,5.4,,1013.6,,,Huyện Bình Chánh
2009-01-14 12:00:00,24.4,16.4,61.0,,,120.0,7.6,,1015.4,,,Huyện Bình Chánh
2009-01-14 15:00:00,21.3,18.5,84.0,,,,5.4,,1016.8,,,Huyện Bình Chánh
2009-01-14 18:00:00,19.2,15.1,77.0,,,360.0,11.2,,1016.7,,,Huyện Bình Chánh
2009-01-14 21:00:00,18.8,14.5,76.0,,,310.0,7.6,,1015.4,,,Huyện Bình Chánh
2009-01-15 00:00:00,17.4,15.2,87.0,,,360.0,7.6,,1017.3,,,Huyện Bình Chánh
